sid,stimfile,eye_used,trialid,n_fix_trial,sum_fix_dur_trial,dwell_time_trial,mean_fix_dur_trial,n_sacc_trial,sum_sacc_dur_trial,mean_sacc_dur_trial,mean_sacc_ampl_trial,ratio_progress_regress_trial,n_between_line_regress_trial,n_within_line_regress_trial,n_regress_trial,n_progress_trial,n_transit_trial,aoi,aoi_kind,content,dwell_time_aoi,n_fix_aoi,sum_fix_dur_aoi,mean_fix_dur_aoi,skipped_aoi,n_fix_first_visit_aoi,first_fix_dur_aoi,first_fix_land_pos_aoi,dwell_time_first_visit_aoi,sum_fix_dur_first_visit_aoi,sum_fix_dur_after_first_visit_aoi,dwell_time_rereading_aoi,n_revisits_aoi,task
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_010,subline,jipřá,1487.9139999999898,3,2919.8040000000037,973.2680000000013,0,3,607.997999999905,0.15986111111111098,1487.9139999999898,1459.9020000000019,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_011,subline,tibý,472.0139999999665,1,952.027999999933,952.027999999933,0,1,476.0139999999665,0.24622950819672101,472.0139999999665,476.0139999999665,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_012,subline,sa,259.8040000000037,1,527.6080000000075,527.6080000000075,0,1,263.8040000000037,0.10405405405405467,259.8040000000037,263.8040000000037,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_013,subline,takode,1507.7389999999432,3,2927.530000000028,975.8433333333427,0,3,643.9699999999721,0.19101063829787157,1507.7389999999432,1463.765000000014,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_014,subline,koumi,780.1490000000922,1,1568.3000000000466,1568.3000000000466,0,1,784.1500000000233,0.21813888888889071,780.1490000000922,784.1500000000233,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_015,subline,toudíc.,1607.7560000000522,2,3183.502000000095,1591.7510000000475,0,2,1111.9120000000112,0.23840206185567012,1607.7560000000522,1591.7510000000475,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_001-part_016,subline,Vazpíla,4631.587000000058,4,9231.149999999907,2307.7874999999767,0,4,2367.837999999989,0.20968750000000114,4631.587000000058,4615.574999999953,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002,line,,23210.16200000001,36,44492.53999999957,1235.903888888877,0,36,147.91099999996368,0.17317123857024105,23210.16200000001,22246.269999999786,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_001,subline,"mupotá,",1864.0810000000056,5,3568.132000000216,713.6264000000432,0,5,388.158000000054,0.43220149253731316,1864.0810000000056,1784.066000000108,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_002,subline,sidóla,1939.7729999999283,3,3831.530000000028,1277.176666666676,0,1,147.91099999996368,0.8642441860465115,143.91099999996368,147.91099999996368,1767.8540000000503,1795.8619999999646,1,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_003,subline,lib,335.84499999997206,1,679.6799999999348,679.6799999999348,0,1,339.8399999999674,0.34647727272727286,335.84499999997206,339.8399999999674,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_004,subline,"mozdá,",804.0999999999767,2,1576.2039999999106,788.1019999999553,0,2,608.0629999999655,0.29121359223300974,804.0999999999767,788.1019999999553,0.0,0.0,0,T5_Pseudo_Text
1003,s7_stimuli_t5.jpg,b,166,216,118053.58000000042,125825.06700000004,546.5443518518538,215,8635.418999999878,40.164739534883154,71.78616246644599,5.4,0,20,20,108,128,line_002-part_005,subline,rompulo,1439.8549999999814,2,2871.7079999998678,1435.8539999999339,0,2,1295.8319999999367,0.3641163793103454,1439.8549999999814,1435.8539999999339,0.0,0.0,0,T5_Pseudo_Text
